filename	read_id	run_id	channel	start_time	duration	num_events	template_start	num_events_template	template_duration	num_called_template	sequence_length_template	mean_qscore_template	strand_score_template
GXB01030_20170907__GA20000_sequencing_run_3_81840_read_135_ch_477_strand.fast5	34fa28f2-0dc7-45a2-9a9d-426681aef894	738df72bc123fe6723c7ac49a423564c8edf2347	477	496.74625	7.86425	6101	0.05825	6101	7.806	6101	3472	13.126	-0.001
GXB01030_20170907__GA20000_sequencing_run_3_81840_read_226_ch_270_strand.fast5	87b292e2-f61b-4635-aa50-f843064c51ed	738df72bc123fe6723c7ac49a423564c8edf2347	270	461.3935	42.634	33728	0.03	33728	42.604	33728	18630	7.154	-0.0014
GXB01030_20170907__GA20000_sequencing_run_3_81840_read_200_ch_209_strand.fast5	93c17274-4829-48f6-8a38-955030369d0a	738df72bc123fe6723c7ac49a423564c8edf2347	209	496.77075	9.13075	7063	0.0925	7063	9.03825	7063	4082	10.421	-0.0014
GXB01030_20170907__GA20000_sequencing_run_3_81840_read_236_ch_331_strand.fast5	b139e5f1-2b8b-4050-872c-90c4b71fd3a2	738df72bc123fe6723c7ac49a423564c8edf2347	331	490.90775	13.9915	11260	0.0	11260	13.9915	11260	5911	9.012	-0.0012
GXB01030_20170907__GA20000_sequencing_run_3_81840_read_162_ch_467_strand.fast5	da00994c-be54-4971-88e3-6b646f0d319d	738df72bc123fe6723c7ac49a423564c8edf2347	467	485.89625	19.03825	14960	0.0	14960	19.03825	14960	8552	10.869	-0.0012
GXB01030_20170907__GA20000_sequencing_run_3_81840_read_230_ch_340_strand.fast5	16da2449-6a14-4629-b75a-fce6a9a68e3e	738df72bc123fe6723c7ac49a423564c8edf2347	340	498.4225	7.08775	5518	0.1155	5518	6.97225	5518	3020	9.864	-0.0013
GXB01030_20170907__GA20000_sequencing_run_3_81840_read_131_ch_431_strand.fast5	d815c319-1b6c-4802-8c05-c5284e5b3a9b	738df72bc123fe6723c7ac49a423564c8edf2347	431	504.73	1.081	824	0.00875	824	1.07225	824	374	11.34	-0.0005
GXB01030_20170907__GA20000_sequencing_run_3_81840_read_218_ch_351_strand.fast5	e296fb3a-efa1-4326-bc07-e420ba041198	738df72bc123fe6723c7ac49a423564c8edf2347	351	503.58725	1.26225	944	0.03025	944	1.232	944	549	12.916	-0.0012
GXB01030_20170907__GA20000_sequencing_run_3_81840_read_186_ch_483_strand.fast5	f9497ed0-9bdc-464d-a3a8-636291486f3a	738df72bc123fe6723c7ac49a423564c8edf2347	483	469.51775	35.93075	28073	0.02975	28073	35.901	28073	16138	13.3	-0.0012
GXB01030_20170907__GA20000_sequencing_run_3_81840_read_182_ch_219_strand.fast5	998f77fc-de77-47c7-be4f-ba7a2c7e0618	738df72bc123fe6723c7ac49a423564c8edf2347	219	488.26075	17.0265	13163	0.14525	13163	16.88125	13163	7522	11.762	-0.0011
GXB01030_20170907__GA20000_sequencing_run_3_81840_read_195_ch_458_strand.fast5	858f21cf-8cb5-4884-96a9-c44551ad2c1a	738df72bc123fe6723c7ac49a423564c8edf2347	458	478.00225	28.38025	22215	0.08275	22215	28.2975	22215	12958	10.992	-0.0012
GXB01030_20170907__GA20000_sequencing_run_3_81840_read_175_ch_20_strand.fast5	96f70699-f1fd-451b-b7ca-bcf6a3f23008	738df72bc123fe6723c7ac49a423564c8edf2347	20	487.6555	19.55275	15287	0.03025	15287	19.5225	15287	8760	12.444	-0.0013
GXB01030_20170907__GA20000_sequencing_run_3_81840_read_97_ch_275_strand.fast5	6d2af40a-93ce-4478-ac5f-bfe8495e16af	738df72bc123fe6723c7ac49a423564c8edf2347	275	490.34025	16.9375	13205	0.00675	13205	16.93075	13205	7216	12.563	-0.0012
GXB01030_20170907__GA20000_sequencing_run_3_81840_read_269_ch_130_strand.fast5	d5d18fbd-5a1d-456c-b7d6-296b47fd4650	738df72bc123fe6723c7ac49a423564c8edf2347	130	490.645	15.55425	12274	0.0	12274	15.55425	12274	7306	11.382	-0.001
GXB01030_20170907__GA20000_sequencing_run_3_81840_read_195_ch_449_strand.fast5	43fece69-2b67-4d35-baef-e19a38300885	738df72bc123fe6723c7ac49a423564c8edf2347	449	494.88225	11.27325	8798	0.15275	8798	11.1205	8798	5171	11.449	-0.0011
GXB01030_20170907__GA20000_sequencing_run_3_81840_read_203_ch_28_strand.fast5	a6501b0e-4bb7-4ee5-a6df-58a27a5649be	738df72bc123fe6723c7ac49a423564c8edf2347	28	451.2	55.44475	43078	0.0475	43078	55.39725	43078	24110	11.778	-0.0012
GXB01030_20170907__GA20000_sequencing_run_3_81840_read_183_ch_310_strand.fast5	adaf7c09-3272-4dfb-a68e-b7bdb668d600	738df72bc123fe6723c7ac49a423564c8edf2347	310	487.51175	19.565	15480	0.1995	15480	19.3655	15480	8099	8.059	-0.0014
GXB01030_20170907__GA20000_sequencing_run_3_81840_read_202_ch_397_strand.fast5	d00d6b7e-d442-4236-b762-e117292c1dd0	738df72bc123fe6723c7ac49a423564c8edf2347	397	504.9415	2.4555	1964	0.02875	1964	2.42675	1964	646	6.039	-0.0024
GXB01030_20170907__GA20000_sequencing_run_3_81840_read_192_ch_447_strand.fast5	7f6bc3b3-0c6d-4235-b83d-e3953638edaf	738df72bc123fe6723c7ac49a423564c8edf2347	447	465.83425	41.05325	32389	0.02775	32389	41.0255	32389	18748	13.33	-0.0011
GXB01030_20170907__GA20000_sequencing_run_3_81840_read_193_ch_404_strand.fast5	b940747e-d2af-4e3b-8289-ffa03076de6c	738df72bc123fe6723c7ac49a423564c8edf2347	404	488.67325	18.99725	14814	0.05425	14814	18.943	14814	8869	11.287	-0.0014
