ZMW	IdxFirst	IdxCombined	IdxSecondCandidate	IdxFirstAlt	IdxSecondAlt	ScoreFirst	ScoreCombined	ScoreSecondCandidate	ScoreFirstAlt	ScoreSecondAlt	ScoreCombinedFirst	ScoreCombinedSecond	ScoresFirst	ScoresCombined	ScoresSecondCandidate	ScoresFirstAlt	ScoresSecondAlt	ReadLengths	IdxsCombined	ClipsFirst	ClipsCombined	ClipsSecondCandidate	ClipsFirstAlt	ClipsSecondAlt	ScoreLead	SignalIncrease	NumPasses	NumAdapters	NumBadAdapters	NumBadAdapterRatio	NumScoredAdapters	NumBarcodedRegions	NumBarcodedRegionsPassed	PassedFilters	IdxFirstNamed	IdxCombinedNamed	IdxSecondCandidateNamed	IdxFirstAltNamed	IdxSecondAltNamed	IdxLowest	IdxHighest	IdxLowestNamed	IdxHighestNamed
m64089e_220615_173331/5	8	8	0	0	0	100	100	0	0	0	100	100	100,100	100,100	-1,-1	-1,-1	-1,-1	4096	8,8	17,4079	17,4079	0,0	0,0	0,0	100	-1	1	1	0	0	1	2	2	1	bc1015_BAK8B_OA	bc1015_BAK8B_OA	bc1001_BAK8A_OA	bc1001_BAK8A_OA	bc1001_BAK8A_OA	8	8	bc1015_BAK8B_OA	bc1015_BAK8B_OA
m64089e_220615_173331/8	8	8	0	0	0	88	88	0	0	0	88	88	100,76	100,76	-1,-1	-1,-1	-1,-1	5219	8,8	17,5203	17,5203	0,0	0,0	0,0	100	-1	1	1	0	0	1	2	2	1	bc1015_BAK8B_OA	bc1015_BAK8B_OA	bc1001_BAK8A_OA	bc1001_BAK8A_OA	bc1001_BAK8A_OA	8	8	bc1015_BAK8B_OA	bc1015_BAK8B_OA
m64089e_220615_173331/9	8	8	0	0	0	100	100	0	0	0	100	100	100,100	100,100	-1,-1	-1,-1	-1,-1	7107	8,8	17,7090	17,7090	0,0	0,0	0,0	100	-1	1	1	0	0	1	2	2	1	bc1015_BAK8B_OA	bc1015_BAK8B_OA	bc1001_BAK8A_OA	bc1001_BAK8A_OA	bc1001_BAK8A_OA	8	8	bc1015_BAK8B_OA	bc1015_BAK8B_OA
m64089e_220615_173331/14	8	8	0	0	0	100	100	0	0	0	100	100	100,100	100,100	-1,-1	-1,-1	-1,-1	16817	8,8	17,16800	17,16800	0,0	0,0	0,0	100	-1	1	1	0	0	1	2	2	1	bc1015_BAK8B_OA	bc1015_BAK8B_OA	bc1001_BAK8A_OA	bc1001_BAK8A_OA	bc1001_BAK8A_OA	8	8	bc1015_BAK8B_OA	bc1015_BAK8B_OA
m64089e_220615_173331/21	8	8	0	0	0	100	100	0	0	0	100	100	100,100	100,100	-1,-1	-1,-1	-1,-1	4985	8,8	17,4968	17,4968	0,0	0,0	0,0	100	-1	1	1	0	0	1	2	2	1	bc1015_BAK8B_OA	bc1015_BAK8B_OA	bc1001_BAK8A_OA	bc1001_BAK8A_OA	bc1001_BAK8A_OA	8	8	bc1015_BAK8B_OA	bc1015_BAK8B_OA
m64089e_220615_173331/27	8	8	0	0	0	26	26	0	0	0	26	26	47,5	47,5	-1,-1	-1,-1	-1,-1	8096	8,8	8,8095	8,8095	0,0	0,0	0,0	100	-1	1	1	0	0	1	2	0	0	bc1015_BAK8B_OA	bc1015_BAK8B_OA	bc1001_BAK8A_OA	bc1001_BAK8A_OA	bc1001_BAK8A_OA	8	8	bc1015_BAK8B_OA	bc1015_BAK8B_OA
m64089e_220615_173331/28	8	8	0	0	0	100	100	0	0	0	100	100	100,100	100,100	-1,-1	-1,-1	-1,-1	3127	8,8	17,3110	17,3110	0,0	0,0	0,0	100	-1	1	1	0	0	1	2	2	1	bc1015_BAK8B_OA	bc1015_BAK8B_OA	bc1001_BAK8A_OA	bc1001_BAK8A_OA	bc1001_BAK8A_OA	8	8	bc1015_BAK8B_OA	bc1015_BAK8B_OA
m64089e_220615_173331/32	8	8	0	0	0	100	100	0	0	0	100	100	100,100	100,100	-1,-1	-1,-1	-1,-1	12140	8,8	17,12123	17,12123	0,0	0,0	0,0	100	-1	1	1	0	0	1	2	2	1	bc1015_BAK8B_OA	bc1015_BAK8B_OA	bc1001_BAK8A_OA	bc1001_BAK8A_OA	bc1001_BAK8A_OA	8	8	bc1015_BAK8B_OA	bc1015_BAK8B_OA
m64089e_220615_173331/34	8	8	0	0	0	100	100	0	0	0	100	100	100,100	100,100	-1,-1	-1,-1	-1,-1	13084	8,8	17,13067	17,13067	0,0	0,0	0,0	100	-1	1	1	0	0	1	2	2	1	bc1015_BAK8B_OA	bc1015_BAK8B_OA	bc1001_BAK8A_OA	bc1001_BAK8A_OA	bc1001_BAK8A_OA	8	8	bc1015_BAK8B_OA	bc1015_BAK8B_OA
m64089e_220615_173331/37	8	8	0	0	0	94	94	0	0	0	94	94	88,100	88,100	-1,-1	-1,-1	-1,-1	9423	8,8	15,9406	15,9406	0,0	0,0	0,0	100	-1	1	1	0	0	1	2	2	1	bc1015_BAK8B_OA	bc1015_BAK8B_OA	bc1001_BAK8A_OA	bc1001_BAK8A_OA	bc1001_BAK8A_OA	8	8	bc1015_BAK8B_OA	bc1015_BAK8B_OA
m64089e_220615_173331/48	8	8	0	0	0	100	100	0	0	0	100	100	100,100	100,100	-1,-1	-1,-1	-1,-1	18878	8,8	17,18861	17,18861	0,0	0,0	0,0	100	-1	1	1	0	0	1	2	2	1	bc1015_BAK8B_OA	bc1015_BAK8B_OA	bc1001_BAK8A_OA	bc1001_BAK8A_OA	bc1001_BAK8A_OA	8	8	bc1015_BAK8B_OA	bc1015_BAK8B_OA
m64089e_220615_173331/49	8	8	0	0	0	100	100	0	0	0	100	100	100,100	100,100	-1,-1	-1,-1	-1,-1	12677	8,8	17,12660	17,12660	0,0	0,0	0,0	100	-1	1	1	0	0	1	2	2	1	bc1015_BAK8B_OA	bc1015_BAK8B_OA	bc1001_BAK8A_OA	bc1001_BAK8A_OA	bc1001_BAK8A_OA	8	8	bc1015_BAK8B_OA	bc1015_BAK8B_OA
m64089e_220615_173331/54	8	8	0	0	0	100	100	0	0	0	100	100	100,100	100,100	-1,-1	-1,-1	-1,-1	5270	8,8	17,5253	17,5253	0,0	0,0	0,0	100	-1	1	1	0	0	1	2	2	1	bc1015_BAK8B_OA	bc1015_BAK8B_OA	bc1001_BAK8A_OA	bc1001_BAK8A_OA	bc1001_BAK8A_OA	8	8	bc1015_BAK8B_OA	bc1015_BAK8B_OA
m64089e_220615_173331/60	8	8	0	0	0	100	100	0	0	0	100	100	100,-1	100,-1	-1,-1	-1,-1	-1,-1	10677	8,-1	17,10677	17,10677	0,0	0,0	0,0	100	-1	0	0.5	0	0	0.5	1	1	1	bc1015_BAK8B_OA	bc1015_BAK8B_OA	bc1001_BAK8A_OA	bc1001_BAK8A_OA	bc1001_BAK8A_OA	8	8	bc1015_BAK8B_OA	bc1015_BAK8B_OA
