IdxFirst	IdxCombined	IdxFirstNamed	IdxCombinedNamed	NumZMWs	MeanScore	Picked
2	2	lbc3	lbc3	1	45	0
3	3	lbc4	lbc4	5	37	0
4	4	lbc5	lbc5	1468	54	1
5	5	lbc6	lbc6	1	48	0
6	6	lbc7	lbc7	1	44	0
7	7	lbc8	lbc8	2	37	0
8	8	lbc9	lbc9	1	26	0
9	9	lbc10	lbc10	1	51	0
11	11	lbc12	lbc12	818	63	1
13	13	lbc14	lbc14	4	38	0
14	14	lbc15	lbc15	1	40	0
15	15	lbc16	lbc16	1366	62	1
16	16	lbc17	lbc17	2	32	0
17	17	lbc18	lbc18	3	36	0
19	19	lbc20	lbc20	2	31	0
20	20	lbc21	lbc21	1	39	0
21	21	lbc22	lbc22	1	41	0
23	23	lbc24	lbc24	1	36	0
24	24	lbc25	lbc25	1075	69	1
25	25	lbc26	lbc26	7	47	0
27	27	lbc28	lbc28	2	63	0
28	28	lbc29	lbc29	3	40	0
29	29	lbc30	lbc30	1	27	0
31	31	lbc32	lbc32	1035	57	1
32	32	lbc33	lbc33	2	40	0
33	33	lbc34	lbc34	2	32	0
34	34	lbc35	lbc35	1094	59	1
35	35	lbc36	lbc36	2	37	0
37	37	lbc38	lbc38	5	42	0
38	38	lbc39	lbc39	4278	61	1
40	40	lbc41	lbc41	1	48	0
41	41	lbc42	lbc42	2012	56	1
43	43	lbc44	lbc44	1	45	0
44	44	lbc45	lbc45	1	36	0
45	45	lbc46	lbc46	1	44	0
46	46	lbc47	lbc47	1	33	0
47	47	lbc48	lbc48	7	32	0
48	48	lbc49	lbc49	2	34	0
49	49	lbc50	lbc50	1	33	0
50	50	lbc51	lbc51	846	60	1
51	51	lbc52	lbc52	5	38	0
52	52	lbc53	lbc53	1427	58	1
53	53	lbc54	lbc54	4	35	0
55	55	lbc56	lbc56	30	31	0
56	56	lbc57	lbc57	1	33	0
57	57	lbc58	lbc58	1849	60	1
58	58	lbc59	lbc59	1	93	0
60	60	lbc61	lbc61	2	33	0
63	63	lbc64	lbc64	1	37	0
64	64	lbc65	lbc65	2	35	0
65	65	lbc66	lbc66	1	36	0
66	66	lbc67	lbc67	2	48	0
70	70	lbc71	lbc71	1	21	0
72	72	lbc73	lbc73	1	28	0
73	73	lbc74	lbc74	1	31	0
74	74	lbc75	lbc75	1	31	0
75	75	lbc76	lbc76	3	37	0
77	77	lbc78	lbc78	879	51	1
80	80	lbc81	lbc81	1	48	0
83	83	lbc84	lbc84	1	40	0
84	84	lbc85	lbc85	2	42	0
86	86	lbc87	lbc87	1786	61	1
90	90	lbc91	lbc91	1519	56	1
91	91	lbc92	lbc92	1336	53	1
93	93	lbc94	lbc94	2	31	0
94	94	lbc95	lbc95	2	31	0
95	95	lbc96	lbc96	1515	59	1
