| 20230405 22:05:21.627 | INFO | Effective commandline     : /opt/pacbio/tag-ccs-current/bin/ccs --streamed --log-level INFO --stderr-json-log --kestrel-files-layout --movie-name m84047_230404_172053_s2 --log-file metadata/m84047_230404_172053_s2.ccs.log --min-rq 0.9 --non-hifi-prefix fail --knrt-ada --pbdc-model /opt/pacbio/tag-ccs-current/bin/../models/revio_v1.onnx --alarms metadata/m84047_230404_172053_s2.ccs.alarms.json
| 20230405 22:05:21.630 | INFO | CCS Version               : 7.0.0 (commit v7.0.0)
| 20230405 22:07:20.997 | INFO | Available consensus models: (Internal, R/P1-C1/5.0-25M, S/P2-C2/5.0, S/P3-C1/5.0-8M, S/P3-C3/5.0, S/P4-C2/5.0-8M, S/P4.1-C2/5.0-8M, S/P5-C2/5.0-8M)
| 20230405 22:07:20.997 | INFO | Using consensus models for: (R/P1-C1/5.0-25M)
| 20230405 22:07:20.997 | INFO | Expecting #ZMWs           : 25165824
| 20230405 22:07:20.997 | INFO | Using windowing mode      : PILEUP
| 20230405 22:07:20.997 | INFO | Target window size        : 28
| 20230405 22:07:20.997 | INFO | Trim insertion trigger    : 5
| 20230405 22:07:20.997 | INFO | Trim insertion lengths to : 0
| 20230405 22:07:20.997 | INFO | Draft GPU devices         : {}
| 20230405 22:07:20.997 | INFO | Draft CPU threads         : 200
| 20230405 22:07:20.997 | INFO | Polish GPU devices        : {1,1,1}
| 20230405 22:07:20.997 | INFO | Polish CPU threads        : 0
| 20230405 22:07:20.997 | INFO | PBDC GPU devices          : {0,0,1}
| 20230405 22:07:20.997 | INFO | PBDC CPU threads          : 0
| 20230405 22:07:20.997 | INFO | Finish GPU devices        : {1,1}
| 20230405 22:07:20.997 | INFO | Finish CPU threads        : 0
| 20230405 22:07:25.148 | INFO | GPU device id 1 memory    : 5 x 10.97 of 78.8 free GBytes (excl. 20 reserved GBytes)
| 20230405 22:07:25.233 | INFO | Num Threads               : 200
| 20230405 22:07:25.350 | INFO | Spawning ONNX instances   : 3 GPU
| 20230405 22:09:51.068 | INFO | Model's batch dimension is fixed to 2048
| 20230405 22:09:54.446 | INFO | Model's batch dimension is fixed to 2048
| 20230405 22:10:01.270 | INFO | Model's batch dimension is fixed to 2048
| 20230405 22:10:01.536 | INFO | -------------------------------------------------
| 20230405 22:10:01.536 | INFO | Logging info: Z1/Z2 C1/C2 M1/M2 H1/H2 ETA PR
| 20230405 22:10:01.536 | INFO | Z1: #ZMWs processed since start
| 20230405 22:10:01.536 | INFO | Z2: #ZMWs processed in the last minute
| 20230405 22:10:01.536 | INFO | C1: #CCSs generated since start
| 20230405 22:10:01.536 | INFO | C2: #CCSs generated in the last minute
| 20230405 22:10:01.536 | INFO | M1: Base yield in MBases last minute
| 20230405 22:10:01.536 | INFO | M2: HiFi yield in MBases last minute
| 20230405 22:10:01.536 | INFO | H1: Estimated base yield in GBases per hour based on last minute
| 20230405 22:10:01.536 | INFO | H2: Estimated HiFi yield in GBases per hour based on last minute
| 20230405 22:10:01.536 | INFO | ETA: Estimated remaining run time, ~extrapolated
| 20230405 22:10:01.536 | INFO | PR: Peak Resident Set Size (RSS) in GB, if increased
| 20230405 22:10:01.536 | INFO | -------------------------------------------------
| 20230405 22:10:06.538 | INFO | 952/11424 0/0 0.0/0.0 0.0/0.0 ~1d 12h 19.35
| 20230405 22:10:06.538 | INFO | Sending heartbeat
| 20230405 22:10:11.541 | INFO | 952/5712 0/0 0.0/0.0 0.0/0.0 ~3d 1h 27.86
| 20230405 22:10:11.541 | INFO | Sending heartbeat
| 20230405 22:10:16.544 | INFO | 1142/4568 0/0 0.0/0.0 0.0/0.0 ~3d 19h 34.87
| 20230405 22:10:16.544 | INFO | Sending heartbeat
| 20230405 22:10:21.559 | INFO | 1277/3831 131/393 1.2/1.2 0.1/0.1 ~4d 13h 44.37
| 20230405 22:10:21.559 | INFO | Sending heartbeat
| 20230405 22:10:26.578 | INFO | 2998/7195 467/1121 5.3/5.1 0.3/0.3 ~2d 10h 55.22
| 20230405 22:10:26.578 | INFO | Sending heartbeat
| 20230405 22:10:31.593 | INFO | 6071/12142 1801/3602 23.1/21.9 1.4/1.3 ~1d 10h 60.16
| 20230405 22:10:31.593 | INFO | Sending heartbeat
| 20230405 22:10:36.597 | INFO | 9154/15693 3362/5763 43.4/40.4 2.6/2.4 ~1d 2h 61.87
| 20230405 22:10:36.597 | INFO | Sending heartbeat
| 20230405 22:10:41.603 | INFO | 11243/16863 4288/6431 55.6/51.8 3.3/3.1 ~1d 56s
