| 20230406 08:20:46.430 | INFO | Effective commandline     : /opt/pacbio/tag-ccs-current/bin/ccs --streamed --log-level INFO --stderr-json-log --kestrel-files-layout --movie-name m84047_230404_175159_s3 --log-file metadata/m84047_230404_175159_s3.ccs.log --min-rq 0.9 --non-hifi-prefix fail --knrt-ada --pbdc-model /opt/pacbio/tag-ccs-current/bin/../models/revio_v1.onnx --alarms metadata/m84047_230404_175159_s3.ccs.alarms.json
| 20230406 08:20:46.433 | INFO | CCS Version               : 7.0.0 (commit v7.0.0)
| 20230406 08:22:35.325 | INFO | Available consensus models: (Internal, R/P1-C1/5.0-25M, S/P2-C2/5.0, S/P3-C1/5.0-8M, S/P3-C3/5.0, S/P4-C2/5.0-8M, S/P4.1-C2/5.0-8M, S/P5-C2/5.0-8M)
| 20230406 08:22:35.325 | INFO | Using consensus models for: (R/P1-C1/5.0-25M)
| 20230406 08:22:35.325 | INFO | Expecting #ZMWs           : 25165824
| 20230406 08:22:35.325 | INFO | Using windowing mode      : PILEUP
| 20230406 08:22:35.325 | INFO | Target window size        : 28
| 20230406 08:22:35.325 | INFO | Trim insertion trigger    : 5
| 20230406 08:22:35.325 | INFO | Trim insertion lengths to : 0
| 20230406 08:22:35.325 | INFO | Draft GPU devices         : {}
| 20230406 08:22:35.325 | INFO | Draft CPU threads         : 200
| 20230406 08:22:35.325 | INFO | Polish GPU devices        : {1,1,1}
| 20230406 08:22:35.325 | INFO | Polish CPU threads        : 0
| 20230406 08:22:35.325 | INFO | PBDC GPU devices          : {0,0,1}
| 20230406 08:22:35.325 | INFO | PBDC CPU threads          : 0
| 20230406 08:22:35.325 | INFO | Finish GPU devices        : {1,1}
| 20230406 08:22:35.325 | INFO | Finish CPU threads        : 0
| 20230406 08:22:39.543 | INFO | GPU device id 1 memory    : 5 x 10.97 of 78.8 free GBytes (excl. 20 reserved GBytes)
| 20230406 08:22:39.626 | INFO | Num Threads               : 200
| 20230406 08:22:39.750 | INFO | Spawning ONNX instances   : 3 GPU
| 20230406 08:25:01.621 | INFO | Model's batch dimension is fixed to 2048
| 20230406 08:25:05.103 | INFO | Model's batch dimension is fixed to 2048
| 20230406 08:25:11.235 | INFO | Model's batch dimension is fixed to 2048
| 20230406 08:25:11.534 | INFO | -------------------------------------------------
| 20230406 08:25:11.534 | INFO | Logging info: Z1/Z2 C1/C2 M1/M2 H1/H2 ETA PR
| 20230406 08:25:11.534 | INFO | Z1: #ZMWs processed since start
| 20230406 08:25:11.534 | INFO | Z2: #ZMWs processed in the last minute
| 20230406 08:25:11.534 | INFO | C1: #CCSs generated since start
| 20230406 08:25:11.534 | INFO | C2: #CCSs generated in the last minute
| 20230406 08:25:11.534 | INFO | M1: Base yield in MBases last minute
| 20230406 08:25:11.534 | INFO | M2: HiFi yield in MBases last minute
| 20230406 08:25:11.534 | INFO | H1: Estimated base yield in GBases per hour based on last minute
| 20230406 08:25:11.534 | INFO | H2: Estimated HiFi yield in GBases per hour based on last minute
| 20230406 08:25:11.534 | INFO | ETA: Estimated remaining run time, ~extrapolated
| 20230406 08:25:11.534 | INFO | PR: Peak Resident Set Size (RSS) in GB, if increased
| 20230406 08:25:11.534 | INFO | -------------------------------------------------
| 20230406 08:25:16.538 | INFO | 471/5652 0/0 0.0/0.0 0.0/0.0 ~3d 2h 19.24
| 20230406 08:25:16.538 | INFO | Sending heartbeat
| 20230406 08:25:21.542 | INFO | 471/2826 0/0 0.0/0.0 0.0/0.0 ~6d 4h 30.82
| 20230406 08:25:21.542 | INFO | Sending heartbeat
| 20230406 08:25:26.552 | INFO | 977/3908 0/0 0.0/0.0 0.0/0.0 ~4d 11h 41.14
| 20230406 08:25:26.557 | INFO | Sending heartbeat
| 20230406 08:25:31.820 | INFO | 2513/7539 859/2577 8.4/8.2 0.5/0.5 ~2d 8h 52.23
| 20230406 08:25:31.820 | INFO | Sending heartbeat
| 20230406 08:25:36.824 | INFO | 3766/9038 1615/3876 15.2/15.0 0.9/0.9 ~1d 22h 60.75
| 20230406 08:25:36.824 | INFO | Sending heartbeat
| 20230406 08:25:41.828 | INFO | 7852/15704 4268/8536 41.6/40.4 2.5/2.4 ~1d 2h 61.48
| 20230406 08:25:41.828 | INFO | Sending heartbeat
| 20230406 08:25:46.917 | INFO | 10253/17575 5713/9792 55.6/54.0 3.3/3.2 ~1d 14s 63.27
| 20230406 08:25:46.917 | INFO | Sending heartbeat
| 20230406 08:25:51.921 | INFO | 12461/18692 6963/10445 67.8/65.8 4.1/3.9 ~22h 38m 63.75
| 20230406 08:25:51.921 | INFO | Sending heartbeat
| 20230406 08:25:56.925 | INFO | 14850/19799 8386/11180 81.8/79.3 4.9/4.8 ~21h 21m 63.99
| 20230406 08:25:56.925 | INFO | Sending heartbeat
| 20230406 08:26:01.929 | INFO | 17411/20893 9831/11797 95.8/93.0 5.7/5.6 ~20h 13m 64.28
| 20230406 08:26:01.929 | INFO | Sending heartbeat
| 20230406 08:26:06.933 | INFO | 19642/21428 11071/12077 108.1/104.9 6.5/6.3 ~19h 41m 64.86
| 20230406 08:26:06.933 | INFO | Sending heartbeat
| 20230406 08:26:11.937 | INFO | 21707/21613 12303/12303 120.1/116.5 7.2/7.0 19h 26m
